,Condition,Medication,Alternate names,More common,Less common,Incidence not known,Parent links,Exact medications
26,Depression,venlafaxine,,"Abnormal dreams; chills; constipatio; decrease in sexual desire or ability; diarrhea; dry mouth; heartbur; increased sweating; loss of appetite; nausea; stomach pain or gas; runny nos; tingling, burning, or prickly sensations; trouble sleeping; vomiting; weight los; ",Change in taste; muscle tension; yawning; ,Night sweat; ,"['https://www.webmd.com/drugs/2/drug-4870-5047/venlafaxine-hcl/details', 'https://www.webmd.com/drugs/2/drug-4870-1047/venlafaxine-hcl-er/details']","['venlafaxine HCL', 'venlafaxine HCL ER']"
27,Depression,Duloxetine,,Body aches or pain; cough; difficulty having a bowel movement (stool); dry mouth; ear congestion; frequent urinatio; headach; lack or loss of strength; loss of appetite; loss of voice; muscle aches; nause; sleepiness or unusual drowsiness; sneezing; sore throa; runny nos; sweating increased; trouble sleeping; weight los; ,"Abnormal orgasm; acid or sour stomach; belchin; numbnes; change in taste; change or problem with discharge of semen; decreased interest in sexual intercourse; difficulty with moving; feeling of warmth or redness of the face, neck, arms, and occasionally, upper chest; heartbur; inability to have or keep an erection; indigestio; joint pain; longer than usual time to ejaculation of semen; loose stools; loss in sexual ability, desire, drive, or performance; loss of taste; muscle aching or cramping; muscle pains or stiffness; shakiness in the legs, arms, hands, or feet; stomach discomfort or upset; sudden sweating; swollen joints; trembling or shaking of the hands or feet; ",,"['https://www.webmd.com/drugs/2/drug-91490-404/duloxetine-hcl/details', 'https://www.webmd.com/drugs/2/drug-166394/duloxetine-hcl-bulk-100-powder/details', 'https://www.webmd.com/drugs/2/drug-91490-2114/duloxetine-capsule-delayed-release-sprinkle/details']","['duloxetine HCL', 'duloxetine HCl (bulk) 100 % powder', 'duloxetine 60 mg capsule,delayed release sprinkle']"
28,Depression,Bupropion,,Constipatio; decrease in appetite; dizziness; increased sweating; stomach pain; trembling; weight los; ,Blurred vision; change in sense of taste; drowsiness; frequent need to urinate; sore throa; unusual feeling of well-being; ,,"['https://www.webmd.com/drugs/2/drug-13507-7155/bupropion-xl/details', 'https://www.webmd.com/drugs/2/drug-13507-155/bupropion-hcl/details', 'https://www.webmd.com/drugs/2/drug-171383-9155/bupropion-hcl-sr/details', 'https://www.webmd.com/drugs/2/drug-89414/bupropion-bulk-100-powder/details', 'https://www.webmd.com/drugs/2/drug-166972-1645/naltrexone-bupropion-tablet-er/details', 'https://www.webmd.com/drugs/2/drug-13507-8155/bupropion-hcl-sr/details', 'https://www.webmd.com/drugs/2/drug-148145/bupropion-dietary-supp-no-15-combination-package/details', 'https://www.webmd.com/drugs/2/drug-148146/bupropion-dietary-supp-no-16-combination-package/details', 'https://www.webmd.com/drugs/2/drug-151959-7155/bupropion-hbr-tablet-er-24-hr/details']","['bupropion XL', 'bupropion HCl', 'bupropion HCl SR', 'bupropion (bulk) 100 % powder', 'naltrexone-bupropion tablet, extended release', 'bupropion HCl SR tablet, extended release', 'bupropion-dietary supp. no.15 Combination Package', 'bupropion-dietary supp. no.16 Combination Package', 'bupropion HBr Tablet, Extended Release 24 hr']"
29,Depression,Mirtazapine,,Constipatio; dizzines; drowsiness; dry mouth; increased appetite; weight gain; ,Abdominal or stomach pain; abnormal dreams; back pai; dizziness or fainting when getting up suddenly from a lying or sitting position; increased need to urinate; increased sensitivity to touch; increased thirst; low blood pressur; muscle pain; nause; sense of constant movement of self or surroundings; trembling or shaking; vomitin; weakness; ,,"['https://www.webmd.com/drugs/2/drug-13706-2047/mirtazapine/details', 'https://www.webmd.com/drugs/2/drug-13706-4047/mirtazapine-tablet/details', 'https://www.webmd.com/drugs/2/drug-165181/mirtazapine-bulk-100-powder/details']","['mirtazapine', 'mirtazapine tablet', 'mirtazapine (bulk) 100 % powder']"
30,Depression,Aripiprazole ,,"Anxiet; belchin; blurred vision; difficulty having a bowel movement; dry mouth; fear; fever; heartbur; hyperventilation; inability to sit still; indigestio; irritability; lightheadedness; need to keep moving; nervousness; rash; runny nos; shaking; sore throa; stomach discomfort, upset, or pain; trouble sleeping; weight gain; ","Accidental injury; bloatin; body aches or pain; congestion; coughing; difficulty with moving; dryness or soreness of the throat; hoarseness; increased appetite; increased salivation; joint pain; muscle aching or cramping; muscle pains or stiffness; rapid weight gain; sneezing; stuffy nose; swollen joints; tender, swollen glands in the neck; tingling of the hands or feet; tremor; unusual weight gain or loss; voice changes; ",,"['https://www.webmd.com/drugs/2/drug-64437-4274/aripiprazole/details', 'https://www.webmd.com/drugs/2/drug-64437-1528/aripiprazole-odt/details', 'https://www.webmd.com/drugs/2/drug-146479-877/aripiprazole-solution/details', 'https://www.webmd.com/drugs/2/drug-64437-1979/aripiprazole-tablet-with-sensor-and-patch/details', 'https://www.webmd.com/drugs/2/drug-146479-876/aripiprazole-suspension-er-syringe/details', 'https://www.webmd.com/drugs/2/drug-170036-876/aripiprazole-lauroxil-suspension-er-syringe/details', 'https://www.webmd.com/drugs/2/drug-175570/aripiprazole-lauroxil-submicr-suspension-er-syringe/details', 'https://www.webmd.com/drugs/2/drug-13881-9224/chlorpromazine-hcl-ampul/details', 'https://www.webmd.com/drugs/2/drug-178490/secuado-patch-24-hours/details']","['aripiprazole', 'aripiprazole ODT', 'aripiprazole Solution', 'aripiprazole Tablet with Sensor and Patch', 'aripiprazole Suspension,Extended Release syringe', 'aripiprazole lauroxil Suspension,Extended Release syringe', 'aripiprazole lauroxil,submicr. Suspension,Extended Release syringe', 'chlorpromazine 25 mg/mL injection solution Antipsychotics (excluding select aripiprazole formulations)', 'Secuado 7.6 mg/24 hour transdermal 24 patch Antipsychotics (excluding select aripiprazole formulations)']"
31,Depression,Quetiapine,,Constipatio; headach; ,"Abnormal vision; acid or sour stomach; belchin; decreased appetite; decreased strength and energy; headache; heartbur; increased appetite; increased muscle tone; increased sweating; increased weight; indigestio; sneezing; stomach discomfort, upset, or pain; runny nos; ",,"['https://www.webmd.com/drugs/2/drug-4689-8274/quetiapine-fumarate/details', 'https://www.webmd.com/drugs/2/drug-4689-963/quetiapine-fumarate-er/details']","['quetiapine FUMARATE', 'quetiapine FUMARATE ER']"
32,Depression,Phenelzine,,"Constipatio; decreased interest in sexual intercourse; diarrhe; dry mouth; inability to have or keep an erection; indigestio; loss in sexual ability, desire, drive, or performance; loss of appetite; not able to have an orgasm; passing of gas; sleeplessnes; stomach pain, fullness, or discomfort; trouble sleeping; unable to sleep; unusually deep sleep; unusually long duration of sleep; weight gain; ","Blindness; blurred vision; decreased vision; eye pai; redness, swelling, or soreness of the tongue; tearing; ",,"['https://www.webmd.com/drugs/2/drug-8827-614/phenelzine-sulfate/details', 'https://www.webmd.com/drugs/2/drug-95240/phenelzine-bulk-100-powder/details']","['phenelzine SULFATE', 'phenelzine (bulk) 100 % powder']"
33,Depression,Isocarboxazid ,Marplan,Constipatio; dry mouth; ,"Decreased interest in sexual intercourse; drowsiness; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; relaxed and calm; sleepiness; sleeplessnes; trouble sleeping; unable to sleep; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; ","Black tongue; blurred vision; change in vision; impaired vision; increased sensitivity of the skin to sunlight; itching; raised, dark red, wart-like spots on the skin, especially when used on the face; redness or other discoloration of the skin; severe sunburn; skin ras; ",,
34,Depression,Tranylcypromine,,,,"Blurred vision; constipatio; continuing ringing or buzzing or other unexplained noise in the ears; decreased interest in sexual intercourse; diarrhe; drowsiness; dry mouth; hair los; hearing los; hives</a or <a data-ga-action=""welts"" data-ga-category=""Content Link"" href=""/cg/angioedema.html""welts; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; loss of appetite; memory los; muscle spasm; redness of the skin; stomach pain; unable to sleep; weakness; weight los; ",['https://www.webmd.com/drugs/2/drug-6966/tranylcypromine-oral/details'],['tranylcypromine-oral']
35,Depression,Selegiline patch ,Emsam,"Dry ski; hives; itching, scaling, severe redness, soreness, or swelling of the skin; runny nos; sneezing; stuffy nose; trouble sleeping; ","Acid or sour stomach; back pai; belchin; bloated or full feeling; body aches or pain; congestion; cough; difficulty having a bowel movement (stool); difficulty with moving; dryness or soreness of the throat; excess air or gas in the stomach or intestines; heartbur; hoarseness; indigestio; joint pain; leg cramps; muscle aching or cramping; muscle pains or stiffness; passing gas; stomach discomfort, upset, or pain; swollen joints; tender, swollen glands in the neck; tooth problems; voice changes; ",,['https://www.webmd.com/drugs/2/drug-95200-633/selegiline-patch-24-hours/details'],"['selegiline Patch, Transdermal 24 Hours']"
36,Schizophrenia,Haloperidol,,Blurred vision; changes in menstrual period; constipatio; dryness of the mouth; swelling or pain in the breasts (in females); unusual secretion of milk; weight gain; ,"Decreased sexual ability; drowsiness; increased sensitivity of the skin to sun (skin rash, itching, redness or other discoloration of skin, or severe sunburn); nausea or vomiting; ",,"['https://www.webmd.com/drugs/2/drug-8661-34/haloperidol/details', 'https://www.webmd.com/drugs/2/drug-11980-34/haloperidol-lactate/details', 'https://www.webmd.com/drugs/2/drug-11066/haloperidol-lactate-vial/details', 'https://www.webmd.com/drugs/2/drug-93808/haloperidol-bulk-powder/details', 'https://www.webmd.com/drugs/2/drug-6092-1034/haloperidol-decanoate-vial/details', 'https://www.webmd.com/drugs/2/drug-92597/haloperidol-lactate-syringe/details', 'https://www.webmd.com/drugs/2/drug-10341-34/haloperidol-intensol-concentrate/details', 'https://www.webmd.com/drugs/2/drug-161654/haloperidol-decanoate-bulk-100-powder/details']","['haloperidol', 'haloperidol lactate', 'haloperidol lactate Vial', 'haloperidol (bulk) powder', 'haloperidol decanoate Vial', 'haloperidol lactate Syringe', 'Haloperidol Intensol Concentrate', 'haloperidol decanoate (bulk) 100 % powder']"
37,Schizophrenia,Loxapine,,"Blurred vision; confusion; dizziness, lightheadedness, or fainting; drowsiness; dryness of the mouth; ",Constipation (mild); decreased sexual ability; enlargement of the breasts (males and females); headach; increased sensitivity of the skin to sunlight; missing menstrual periods; nausea; trouble with sleeping; unusual secretion of milk; weight gain; ,,"['https://www.webmd.com/drugs/2/drug-14375-8034/loxapine/details', 'https://www.webmd.com/drugs/2/drug-5555/loxapine-hcl-solution/details', 'https://www.webmd.com/drugs/2/drug-5557-8034/loxapine-hcl-concentrate/details', 'https://www.webmd.com/drugs/2/drug-157628/loxapine-succinate-bulk-powder/details', 'https://www.webmd.com/drugs/2/drug-163174/loxapine-breath-activated-powder-inhaler/details']","['loxapine', 'loxapine HCl Solution', 'loxapine HCl Concentrate', 'loxapine succinate (bulk) 100 % powder', 'loxapine 10 mg breath activated powder inhaler']"
38,Schizophrenia,Thiothixene ,Navane,,,"Absent, missed, or irregular menstrual periods; anxiet; constipatio; decreased interest in sexual intercourse; diarrhe; dry mouth; extreme thirst; welt; hyperventilation; inability to have or keep an erection; increased appetite; increased sensitivity of the skin to sunlight; increased sweating; increased thirst; increased weight; irritability; loss in sexual ability, desire, drive, or performance; menstrual changes; nervousness; redness or other discoloration of the skin; severe sunburn; sleeplessnes; stopping of menstrual bleeding; stuffy nose; swelling of the breasts or unusual milk production; trouble with sleeping; unable to sleep; watering of mouth; ","['https://www.webmd.com/drugs/2/drug-6234-9034/thiothixene/details', 'https://www.webmd.com/drugs/2/drug-10405-9034/thiothixene-hcl-capsule/details', 'https://www.webmd.com/drugs/2/drug-75333/thiothixene-hcl-solution-reconstituted-recon-soln/details', 'https://www.webmd.com/drugs/2/drug-6923-9034/navane-capsule/details', 'https://www.webmd.com/drugs/2/drug-75361/navane-solution-reconstituted-recon-soln/details']","['thiothixene', 'thiothixene HCl capsule', 'thiothixene HCl Solution, Reconstituted (Recon Soln)', 'Navane capsule', 'Navane Solution, Reconstituted (Recon Soln)']"
39,Schizophrenia,Aripiprazole,,"Anxiet; belchin; blurred vision; difficulty having a bowel movement; dry mouth; fear; fever; heartbur; hyperventilation; inability to sit still; indigestio; irritability; lightheadedness; need to keep moving; nervousness; rash; runny nos; shaking; sore throa; stomach discomfort, upset, or pain; trouble sleeping; weight gain; ","Accidental injury; bloatin; body aches or pain; congestion; coughing; difficulty with moving; dryness or soreness of the throat; hoarseness; increased appetite; increased salivation; joint pain; muscle aching or cramping; muscle pains or stiffness; rapid weight gain; sneezing; stuffy nose; swollen joints; tender, swollen glands in the neck; tingling of the hands or feet; tremor; unusual weight gain or loss; voice changes; ",,"['https://www.webmd.com/drugs/2/drug-64437-4274/aripiprazole/details', 'https://www.webmd.com/drugs/2/drug-64437-1528/aripiprazole-odt/details', 'https://www.webmd.com/drugs/2/drug-146479-877/aripiprazole-solution/details', 'https://www.webmd.com/drugs/2/drug-64437-1979/aripiprazole-tablet-with-sensor-and-patch/details', 'https://www.webmd.com/drugs/2/drug-146479-876/aripiprazole-suspension-er-syringe/details', 'https://www.webmd.com/drugs/2/drug-170036-876/aripiprazole-lauroxil-suspension-er-syringe/details', 'https://www.webmd.com/drugs/2/drug-175570/aripiprazole-lauroxil-submicr-suspension-er-syringe/details', 'https://www.webmd.com/drugs/2/drug-13881-9224/chlorpromazine-hcl-ampul/details', 'https://www.webmd.com/drugs/2/drug-178490/secuado-patch-24-hours/details']","['aripiprazole', 'aripiprazole ODT', 'aripiprazole Solution', 'aripiprazole Tablet with Sensor and Patch', 'aripiprazole Suspension,Extended Release syringe', 'aripiprazole lauroxil Suspension,Extended Release syringe', 'aripiprazole lauroxil,submicr. Suspension,Extended Release syringe', 'chlorpromazine 25 mg/mL injection solution Antipsychotics (excluding select aripiprazole formulations)', 'Secuado 7.6 mg/24 hour transdermal 24 patch Antipsychotics (excluding select aripiprazole formulations)']"
40,Schizophrenia,Asenapine,,Constipatio; sleepiness or unusual drowsiness; trouble sleeping; unusually deep sleep; unusually long duration of sleep; ,"Acid or sour stomach; belchin; depressio; difficulty with moving; dry mouth; fear or nervousness; heartbur; increased appetite; increased watering of the mouth; increased weight; indigestio; irritability; muscle pain or stiffness; pain in the arms or legs; pain in the joints; stomach discomfort, upset, or pain; toothach; ",,"['https://www.webmd.com/drugs/2/drug-152900-1254/asenapine-tablet/details', 'https://www.webmd.com/drugs/2/drug-178265/asenapine-patch-24-hours/details']","['asenapine Tablet, Sublingual', 'asenapine 3.8 mg/24 hour transdermal 24 patch']"
41,Schizophrenia,Clozapine,,Acid or sour stomach; belchin; feeling of constant movement of self or surroundings; heartbur; relaxed and calm sensation of spinning; sleepiness; ,"Blurred or loss of vision; change or problem with discharge of semen; disturbed color perception; double vision; halos around lights; inability to sit still; increase in body movements; muscle ache or pain; muscle weakness; night blindness; nightmare; overbright appearance of lights; pain in the back, neck, or legs; pain in the chest below the breastbone; severe muscle stiffness; sore tongue; stuffy nose; tunnel vision; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; ","Blistering, peeling, or loosening of the skin; hive; increased sensitivity of the skin to sunlight; painful or prolonged erection of the penis; red skin lesions, often with a purple center; red, irritated eyes; reddening of the skin, especially around the ears; severe stomach pain; severe sunburn; sores, welting, or blisters; swelling of the eyes, face, or inside of the nose; swelling of the salivary glands; ",['https://www.webmd.com/drugs/2/drug-5200/clozapine-oral/details'],['clozapine-oral']
42,Schizophrenia,Iloperidone,,Diarrhe; sleepiness or unusual drowsiness; ,Abdominal or stomach discomfort; not able to ejaculate semen; rash; stuffy nose; ,,['https://www.webmd.com/drugs/2/drug-153411/iloperidone-oral/details'],['iloperidone-oral']
43,Schizophrenia,Lurasidone,,"Anxiet; belchin; drowsiness; dry mouth; heartbur; hyperventilation; indigestio; irritability; relaxed and calm feeling; sleepiness or unusual drowsiness; stomach discomfort, upset, or pain; trouble sleeping; unusually deep sleep; unusually long duration of sleep; ",Abnormal dreams; back pai; blurred vision; burning feeling in the chest or stomach; decreased appetite; diarrhe; feeling of constant movement of self or surroundings; indigestion; sensation of spinning; sweating; tenderness in the stomach area; watering of mouth and drooling; ,,['https://www.webmd.com/drugs/2/drug-155126/lurasidone-oral/details'],['lurasidone-oral']
44,Schizophrenia,Olanzapine,,"Acid or sour stomach; back pai; belchin; change in personality; difficulty having a bowel movement (stool); discouragement; feeling sad or empty; fever; heartbur; increased appetite; increased cough; indigestio; lack of appetite; lack or loss of strength; loss of interest or pleasure; runny nos; sneezing; stomach discomfort, upset, or pain; stuffy nose; thirst; trouble sleeping; trouble with concentrating; watering of the mouth; ","Blemishes on the skin; body aches or pain; chills; cold sweats; congestion; cough; dry ski; dryness or soreness of the throat; false or unusual sense of well-being; heavy menstrual bleedin; hoarseness; joint pain; lack of feeling or emotion; leg cramps; pain in the arms or legs; pimple; sweating; tender, swollen glands in the neck; uncaring feelings; voice change; vomitin; ",,"['https://www.webmd.com/drugs/2/drug-1644-9274/olanzapine/details', 'https://www.webmd.com/drugs/2/drug-1644-7274/olanzapine-odt/details', 'https://www.webmd.com/drugs/2/drug-89043-388/olanzapine-vial/details', 'https://www.webmd.com/drugs/2/drug-78206-1274/olanzapine-fluoxetine-hcl/details', 'https://www.webmd.com/drugs/2/drug-153606-1297/olanzapine-pamoate-suspension-for-reconstitution/details']","['olanzapine', 'olanzapine ODT', 'olanzapine Vial', 'olanzapine-fluoxetine HCL', 'olanzapine pamoate Suspension for Reconstitution']"
45,Schizophrenia,Paliperidone ,,"Absent, missed, or irregular menstrual periods; difficulty having a bowel movement; fear or nervousness; headach; inability to sit still; nause; need to keep moving; sleepiness or unusual drowsiness; stopping of menstrual bleeding; vomiting; weight gain; ",Back pai; belchin; blurred vision; changes in appetite; dry mouth; fever; heartbur; indigestio; lack or loss of strength; muscle aches; sore throa; stomach discomfort or upset; runny nos; swelling or soreness of the breasts in both females and males; swollen tongue; unexpected or excess milk flow from breasts; upper stomach pain; ,Sleepwalking; ,"['https://www.webmd.com/drugs/2/drug-146718-882/paliperidone-er/details', 'https://www.webmd.com/drugs/2/drug-152780-1221/paliperidone-palmitate-syringe/details', 'https://www.webmd.com/drugs/2/drug-168817-1706/paliperidone-palm-3-month-syringe/details']","['paliperidone ER', 'paliperidone palmitate Syringe', 'paliperidone palm (3-month) Syringe']"
46,Schizophrenia,Risperidone ,,Diarrhe; heartbur; increased dream activity; increased length of sleep; sore throa; runny nos; ,"Absent, missed, or irregular menstrual periods; body aches or pain; breast swelling or soreness; dandruf; darkening of skin color; decreased interest in sexual intercourse; dry skin; ear congestion; inability to have or keep an erection; increase in body movements; increased watering of the mouth; joint pain; loss in sexual ability, desire, drive, or performance; loss of voice; oily skin; pain or tenderness around the eyes and cheekbones; sneezing; stopping of menstrual bleeding; toothach; unusual breast milk production; weight los; ",Acn; change in taste; enlargement of the penis or testes; growth of pubic hair; loss of taste; rapid increase in height; sleepwalking; thinning or loss of hair; ,"['https://www.webmd.com/drugs/2/drug-6283-2034/risperidone/details', 'https://www.webmd.com/drugs/2/drug-6283-3274/risperidone-odt/details', 'https://www.webmd.com/drugs/2/drug-77659-2274/risperidone-microspheres-syringe/details', 'https://www.webmd.com/drugs/2/drug-175840-1948/risperidone-suspension-er-syringe-kit/details']","['risperidone', 'risperidone ODT', 'risperidone microspheres Syringe', 'risperidone Suspension,Extended Release syringe kit']"
47,Schizophrenia,Quetiapine,,Constipatio; headach; ,"Abnormal vision; acid or sour stomach; belchin; decreased appetite; decreased strength and energy; headache; heartbur; increased appetite; increased muscle tone; increased sweating; increased weight; indigestio; sneezing; stomach discomfort, upset, or pain; runny nos; ",,"['https://www.webmd.com/drugs/2/drug-4689-8274/quetiapine-fumarate/details', 'https://www.webmd.com/drugs/2/drug-4689-963/quetiapine-fumarate-er/details']","['quetiapine FUMARATE', 'quetiapine FUMARATE ER']"
48,Schizophrenia,Ziprasidone,,"Acid or sour stomach; belchin; constipatio; diarrhe; heartbur; indigestio; lack or loss of strength; nause; rash; stomach discomfort, upset, or pain; weakness; weight gain; ","Blistering, crusting, irritation, itching, or reddening of the skin; numbnes; change in vision; cracked, dry, or scaly skin; depressio; difficulty with moving; dry mouth; increase in salivation; itching or reddening of the skin; joint pain; loss of appetite; muscle ache; muscle pains or stiffness; muscle tightness; stuffy nose; swelling; swollen joints; vomitin; weakness of the arms and legs; weight los; ",,"['https://www.webmd.com/drugs/2/drug-20568-6274/ziprasidone-hcl/details', 'https://www.webmd.com/drugs/2/drug-63710-5274/ziprasidone-mesylate-solution-reconstituted-recon-soln/details']","['ziprasidone HCl', 'ziprasidone mesylate Solution, Reconstituted (Recon Soln)']"
49,Anxiety,Ativan,Lorazepam,Drowsiness; relaxed and calm; sleepiness; ,,"Being forgetful; clumsiness; constipatio; decreased interest in sexual intercourse; disturbed color perception; dizziness or lightheadedness; double vision; drowsiness; feeling of constant movement of self or surroundings; hair los; halos around lights; inability to have or keep an erection; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; lack or loss of self-control; letharg; loss in sexual ability, desire, drive, or performance; muscle aches, twitching, or weakness; night blindness; overbright appearance of lights; rapid weight gain; sensation of spinning; shakiness in the legs, arms, hands, or feet; shivering; stupor; trembling or shaking of the hands or feet; tunnel vision; weak or feeble pulse; ","['https://www.webmd.com/drugs/2/drug-6685-5244/ativan/details', 'https://www.webmd.com/drugs/2/drug-7912-6244/ativan-vial/details', 'https://www.webmd.com/drugs/2/drug-8892-5244/lorazepam/details', 'https://www.webmd.com/drugs/2/drug-3953-6244/lorazepam-vial/details', 'https://www.webmd.com/drugs/2/drug-14588-2244/lorazepam-intensol/details', 'https://www.webmd.com/drugs/2/drug-8892-2244/lorazepam-concentrate/details', 'https://www.webmd.com/drugs/2/drug-17550/lorazepam-bulk-100-powder/details', 'https://www.webmd.com/drugs/2/drug-151648/lorazepam-d5w-plastic-bag-injection/details', 'https://www.webmd.com/drugs/2/drug-151060/lorazepam-0-9-nacl-plastic-bag-injection/details']","['Ativan', 'Ativan Vial', 'lorazepam', 'lorazepam Vial', 'Lorazepam Intensol', 'lorazepam Concentrate', 'lorazepam (bulk) 100 % powder', 'LORAZEPAM-D5W Plastic Bag, Injection', 'LORAZEPAM-0.9% NACL Plastic Bag, Injection']"
50,Anxiety,Buspar,Buspirone,"Restlessness, nervousness, or unusual excitement; ",,,"['https://www.webmd.com/drugs/2/drug-8876-140/buspirone-hcl/details', 'https://www.webmd.com/drugs/2/drug-74939/buspirone-bulk-100-powder/details']","['buspirone HCL', 'buspirone (bulk) 100 % powder']"
51,Anxiety,Klonopin,Clonazepam,"Body aches or pain; chills; cough; difficulty breathing; discouragement; dizzines; ear congestion; feeling sad or empty; fever; headach; irritability; lack of appetite; loss of interest or pleasure; loss of voice; nasal congestio; poor coordination; runny nos; shakiness and unsteady walk; sleepiness or unusual drowsiness; sneezing; sore throa; tiredness; trouble concentrating; trouble sleeping; unsteadiness, trembling, or other problems with muscle control or coordination; unusual tiredness or weakness; ","Decreased interest in sexual intercourse; difficulty with swallowing; dryness or soreness of the throat; heavy bleeding; hive; inability to have or keep an erection; longer than usual time to ejaculation of semen; loss in sexual ability, desire, drive, or performance; pain or tenderness around the eyes and cheekbones; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; voice changes; ","Burning feeling in the chest or stomach; difficulty having a bowel movement (stool); increased appetite; increased hair growth, especially on the face; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; sore gums; tenderness in the stomach area; ","['https://www.webmd.com/drugs/2/drug-920-6006/klonopin/details', 'https://www.webmd.com/drugs/2/drug-920-4005/klonopin-tablet-disintegrating/details', 'https://www.webmd.com/drugs/2/drug-14403-6006/clonazepam/details', 'https://www.webmd.com/drugs/2/drug-14403-4005/clonazepam-tablet-disintegrating/details', 'https://www.webmd.com/drugs/2/drug-155265/clonazepam-bulk-100-powder/details']","['Klonopin', 'Klonopin Tablet,disintegrating', 'clonazepam', 'clonazepam Tablet,disintegrating', 'clonazepam (bulk) 100 % powder']"
52,Anxiety,Xanax,Alprazolam,"Absent, missed, or irregular menstrual periods; decreased appetite; decreased interest in sexual intercourse; decreased sexual performance or desire abnormal ejaculation; difficulty having a bowel movement (stool); inability to have or keep an erection; increased appetite; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; increased weight; loss in sexual ability, desire, drive, or performance; stopping of menstrual bleeding; watering of the mouth; weight los; ","bloatin; blistering, crusting, irritation, itching, or reddening of the skin; change in taste bad unusual or unpleasant (after) taste; cracked, dry, or scaly skin; cramps; double vision; feeling of warmth; heavy bleeding; menstrual changes; pain; pelvic pai; redness of the face, neck, arms, and occasionally, upper chest; seeing double; sudden sweating; unexplained runny nose or sneezing; ","Blistering, peeling, or loosening of the skin; red, irritated eyes; red skin lesions, often with a purple center; sores, ulcers, or white spots in the mouth or on the lips; swelling of the breasts or breast soreness in both females and males; unexpected or excess milk flow from the breasts; ","['https://www.webmd.com/drugs/2/drug-9824-7244/xanax/details', 'https://www.webmd.com/drugs/2/drug-75324-367/xanax-xr/details', 'https://www.webmd.com/drugs/2/drug-8171-7244/alprazolam/details', 'https://www.webmd.com/drugs/2/drug-8171-367/alprazolam-er/details', 'https://www.webmd.com/drugs/2/drug-8171-510/alprazolam-odt/details', 'https://www.webmd.com/drugs/2/drug-8171-6367/alprazolam-concentrate/details', 'https://www.webmd.com/drugs/2/drug-8115-6367/alprazolam-intensol/details', 'https://www.webmd.com/drugs/2/drug-5691/alprazolam-bulk-100-powder/details', 'https://www.webmd.com/drugs/2/drug-148253/alprazolam-dietary-supp-no-17-combination-package/details']","['Xanax', 'Xanax XR', 'alprazolam', 'alprazolam ER', 'alprazolam ODT', 'alprazolam Concentrate', 'Alprazolam Intensol', 'alprazolam (bulk) 100 % powder', 'alprazolam-dietary supp no.17 Combination Package']"
53,Anxiety,Valium,Diazepam,"Shakiness and unsteady walk; unsteadiness, trembling, or other problems with muscle control or coordination; ",,"Constipatio; decreased interest in sexual intercourse; diarrhe; difficulty with swallowing; double vision; dry mouth; feeling of constant movement of self or surroundings; inability to have or keep an erection; increase in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; increased watering of the mouth; indigestio; loss of sexual ability, desire, drive, or performance; passing of gas; seeing double; sensation of spinning; ","['https://www.webmd.com/drugs/2/drug-11116-4367/valium/details', 'https://www.webmd.com/drugs/2/drug-7452-9244/valium-solution/details', 'https://www.webmd.com/drugs/2/drug-6306-4367/diazepam/details', 'https://www.webmd.com/drugs/2/drug-10610-9244/diazepam-syringe/details', 'https://www.webmd.com/drugs/2/drug-14541-4367/diazepam/details', 'https://www.webmd.com/drugs/2/drug-4541-4244/diazepam-kit/details', 'https://www.webmd.com/drugs/2/drug-6124/diazepam-in-soybean-oil-emulsion/details', 'https://www.webmd.com/drugs/2/drug-78544/diazepam-bulk-100-powder/details']","['Valium', 'Valium Solution', 'diazepam', 'diazepam Syringe', 'Diazepam Concentrate', 'diazepam Kit', 'diazepam (in soybean oil) Emulsion', 'diazepam (bulk) 100 % powder']"
54,ADHD,Focalin,Dexmethylphenidate ,"Acid or sour stomach; belchin; heartbur; indigestio; loss of appetite; nause; stomach discomfort, upset, or pain; throat pain; weight los; ",Twitching; ,,"['https://www.webmd.com/drugs/2/drug-22256-2094/focalin/details', 'https://www.webmd.com/drugs/2/drug-93487-506/focalin-xr/details']","['Focalin', 'Focalin XR']"
55,ADHD,Adderall,Dextroamphetamine ,,,"Bad, unusual, or unpleasant (after) taste; change in taste; constipatio; decreased interest in sexual intercourse; dry mouth; hives</a or <a data-ga-action=""welts"" data-ga-category=""Content Link"" href=""/cg/angioedema.html""welts; inability to have or keep an erection; indigestio; loss in sexual ability, desire, drive, or performance; passing of gas; redness of the skin; weight los; ","['https://www.webmd.com/drugs/2/drug-63163-6080/adderall/details', 'https://www.webmd.com/drugs/2/drug-63164-9323/adderall-xr/details']","['Adderall', 'Adderall XR']"
